Retailer,Contact,Order Date,Price per Unit,Units Sold,Sales
Nike,Mike -Nike,1/2/2024,$18.75 ,"9,000","$168,750 "
Nike,Mike -Nike,2/2/2024,$26.25 ,"9,000","$236,250 "
Nike,Mike -Nike,3/2/2024,$26.25 ,"7,000","$183,750 "
Nike,Mike -Nike,4/2/2024,$26.25 ,"7,000","$183,750 "
Nike,Mike -Nike,5/2/2024,$30.00 ,"5,500","$165,000 "
Nike,Mike -Nike,6/2/2024,$26.25 ,"7,000","$183,750 "
Nike,Mike -Nike,7/2/2024,$18.75 ,"8,500","$159,375 "
Nike,Mike -Nike,8/2/2024,$26.25 ,"8,500","$223,125 "
Nike,Mike -Nike,9/2/2024,$26.25 ,"6,750","$177,188 "
Nike,Mike -Nike,10/2/2024,$26.25 ,"6,250","$164,063 "
Nike,Mike -Nike,11/2/2024,$30.00 ,"5,000","$150,000 "
Nike,Mike -Nike,12/2/2024,$26.25 ,"7,000","$183,750 "
Nike,Mike -Nike,13/2/2024,$22.50 ,"8,750","$196,875 "
Nike,Mike -Nike,14/2/2024,$30.00 ,"8,750","$262,500 "
Nike,Mike -Nike,15/2/2024,$26.25 ,"7,000","$183,750 "
Nike,Mike -Nike,16/2/2024,$30.00 ,"6,000","$180,000 "
Nike,Mike -Nike,17/2/2024,$33.75 ,"5,000","$168,750 "
Nike,Mike -Nike,18/2/2024,$30.00 ,"6,500","$195,000 "
Nike,Mike -Nike,19/2/2024,$22.50 ,"9,000","$202,500 "
Nike,Mike -Nike,20/2/2024,$30.00 ,"9,000","$270,000 "
Nike,Mike -Nike,21/2/2024,$26.25 ,"7,250","$190,313 "
Nike,Mike -Nike,22/2/2024,$30.00 ,"6,250","$187,500 "
Nike,Mike -Nike,23/2/2024,$33.75 ,"5,250","$177,188 "
Nike,Mike -Nike,24/2/2024,$30.00 ,"8,000","$240,000 "
Nike,Mike -Nike,25/2/2024,$22.50 ,"9,250","$208,125 "
Nike,Mike -Nike,26/2/2024,$30.00 ,"9,250","$277,500 "
Nike,Mike -Nike,27/2/2024,$26.25 ,"7,750","$203,438 "
Nike,Mike -Nike,28/2/2024,$30.00 ,"7,000","$210,000 "
Nike,Mike -Nike,29/2/2024,$33.75 ,"6,000","$202,500 "
